slug,name,category,shopify_equivalent,equivalent_type,migration_risk,distribution,notes,guide
woocommerce-google-analytics-integration,Google Analytics,Analytics,Google & YouTube channel (GA4),shopify-app,none,wordpress.org,,
woocommerce-google-analytics-pro,Google Analytics Pro,Analytics,Google & YouTube channel (GA4),shopify-app,none,premium or third-party,,
duracelltomi-google-tag-manager,GTM4WP,Analytics,Customer events (web pixels),built-in,low,wordpress.org,Tags move to custom pixels; checkout tracking uses the Shopify event model.,
pixelyoursite,PixelYourSite,Analytics,Customer events (web pixels) and channel apps,built-in,low,wordpress.org,,
google-site-kit,Site Kit by Google,Analytics,Google & YouTube channel,shopify-app,none,wordpress.org,,
b2bking,B2BKing,B2B,"Shopify B2B: companies, catalogs and net terms (all plans since April 2026)",built-in,high,premium or third-party,"Groups become companies and catalogs; dynamic rules are rebuilt as catalog prices, quantity rules and payment terms. Standard plans allow 3 active catalogs; per-customer price lists beyond that need Shopify Plus.",https://studio.mufatech.com/woocommerce-to-shopify/plugins/b2b/
woocommerce-wholesale-prices,Wholesale Prices,B2B,"Shopify B2B: companies, catalogs and net terms (all plans since April 2026)",built-in,high,wordpress.org,"Wholesale roles become companies and locations, role prices become catalogs. Standard plans allow 3 active catalogs; per-customer price lists beyond that need Shopify Plus.",https://studio.mufatech.com/woocommerce-to-shopify/plugins/b2b/
yith-woocommerce-request-a-quote,YITH Request a Quote,B2B,Quote request app or draft orders,third-party-app,medium,wordpress.org,Quote flows move to an app; open quotes are handled manually.,https://studio.mufatech.com/woocommerce-to-shopify/plugins/b2b/
woocommerce-bookings,WooCommerce Bookings,Bookings,"Booking app (e.g. Sesami, BookThatApp)",third-party-app,high,premium or third-party,Future bookings and availability rules must be recreated in the booking app.,https://studio.mufatech.com/woocommerce-to-shopify/plugins/bookings/
woocommerce-composite-products,Composite Products,Bundles,"Shopify Bundles dynamic bundles (free, by Shopify) or a bundle builder app",shopify-app,high,premium or third-party,"Components become bundle components (up to 150 in a dynamic bundle, 100 variants per bundle). Priced-individually composites and conditional scenarios need a bundle builder app.",https://studio.mufatech.com/woocommerce-to-shopify/plugins/bundles/
woocommerce-product-bundles,Product Bundles,Bundles,"Shopify Bundles (free, by Shopify)",shopify-app,medium,premium or third-party,"Bundles are rebuilt as bundle products; fixed bundles map cleanly, mix-and-match needs an app.",https://studio.mufatech.com/woocommerce-to-shopify/plugins/bundles/
woocommerce-brands,WooCommerce Brands,Catalog,Vendor field or a brand metaobject,built-in,low,premium or third-party,Brand pages become collections or metaobject pages.,
facebook-for-woocommerce,Facebook for WooCommerce,Channels,Facebook & Instagram channel (by Meta),shopify-app,none,wordpress.org,,
google-listings-and-ads,Google Listings & Ads,Channels,Google & YouTube channel,shopify-app,low,wordpress.org,Product IDs change; Merchant Center history restarts unless mapped carefully.,
woo-product-feed-pro,Product Feed PRO,Channels,Google & YouTube channel,shopify-app,none,wordpress.org,,
